Month,Mailbox,Class IV,Class III,Butter,NFDM
January-04,$11.64,$10.97,$11.61,$1.4320,$0.8366
February-04,$12.25,$12.21,$11.89,$1.7132,$0.8413
March-04,$14.31,$14.10,$14.49,$2.1350,$0.8518
April-04,$17.04,$14.57,$19.66,$2.2204,$0.8808
May-04,$17.29,$14.50,$20.58,$2.0363,$0.9050
June-04,$16.14,$13.72,$17.68,$1.9300,$0.9188
July-04,$13.68,$13.31,$14.85,$1.7458,$0.9188
August-04,$13.44,$12.46,$14.04,$1.5408,$0.8814
September-04,$14.03,$13.00,$14.72,$1.7656,$0.8700
October-04,$13.67,$12.81,$14.16,$1.6475,$0.8700
November-04,$14.84,$13.34,$14.89,$1.9238,$0.8898
December-04,$14.82,$13.42,$16.14,$1.7083,$0.8876
January-05,$14.43,$12.52,$14.14,$1.5775,$0.9208
February-05,$13.87,$12.74,$14.70,$1.6145,$0.9525
March-05,$13.82,$12.66,$14.08,$1.5527,$0.9642
April-05,$13.87,$12.61,$14.61,$1.4933,$0.9674
May-05,$13.07,$12.20,$13.77,$1.4044,$0.9758
June-05,$13.01,$12.33,$13.92,$1.5313,$0.9758
July-05,$13.42,$13.17,$14.35,$1.6210,$0.9804
August-05,$12.75,$13.44,$13.60,$1.6861,$1.0009
September-05,$13.49,$13.75,$14.30,$1.6988,$1.0151
October-05,$13.55,$13.61,$14.35,$1.6204,$1.0334
November-05,$12.91,$12.90,$13.35,$1.4260,$1.0554
December-05,$13.13,$12.57,$13.37,$1.3552,$1.0597
January-06,$12.93,$12.20,$13.39,$1.3368,$1.0096
February-06,$11.62,$11.10,$12.20,$1.1930,$0.9263
March-06,$10.99,$10.68,$11.11,$1.1663,$0.8788
April-06,$10.51,$10.36,$10.93,$1.1632,$0.8603
May-06,$10.20,$10.33,$10.83,$1.1755,$0.8484
June-06,$10.23,$10.22,$11.29,$1.1643,$0.8487
July-06,$10.00,$10.21,$10.92,$1.1645,$0.8659
August-06,$10.49,$10.64,$11.06,$1.3035,$0.9514
September-06,$11.30,$11.10,$12.29,$1.3170,$1.0326
October-06,$11.54,$11.51,$12.32,$1.3206,$1.2255
November-06,$11.82,$12.11,$12.84,$1.2915,$1.5202
December-06,$12.13,$12.30,$13.47,$1.2405,$1.3264
January-07,$12.30,$12.53,$13.56,$1.2248,$1.2851
February-07,$13.00,$12.71,$14.18,$1.2187,$1.2953
March-07,$13.79,$13.71,$15.09,$1.3218,$1.4263
April-07,$14.55,$16.12,$16.09,$1.3725,$1.6402
May-07,$16.34,$18.48,$17.60,$1.4825,$1.9459